,id,usuario,tipo_video,codigo,duracion_min,calorias_quemadas,fecha
223,55,user01,entrenamiento fuerza,vid002,30,261,2026-01-21
224,156,user02,entrenamiento fuerza,vid002,30,346,2026-02-01
225,120,user01,entrenamiento fuerza,vid002,30,264,2026-03-01
226,46,user01,rutina cardio,vid001,19,106,2026-01-31
227,47,user04,yoga,vid003,20,399,2026-01-25
228,73,user03,entrenamiento fuerza,vid002,30,100,2026-01-31
229,195,user01,entrenamiento fuerza,vid002,30,54,2026-01-07
230,152,user01,entrenamiento fuerza,vid002,30,242,2026-02-10
231,119,user02,entrenamiento fuerza,vid002,30,143,2026-02-01
232,132,user04,rutina cardio,vid001,19,246,2026-01-20
233,164,user01,entrenamiento fuerza,vid002,30,132,2026-01-27
234,128,user01,yoga,vid003,20,109,2026-02-22
235,85,user01,rutina cardio,vid001,19,63,2026-02-12
236,130,user02,rutina cardio,vid001,19,370,2026-02-02
237,57,user03,yoga,vid003,20,194,2026-01-26
238,50,user01,entrenamiento fuerza,vid002,30,362,2026-01-04
239,22,user03,yoga,vid003,20,302,2026-02-09
240,59,user02,rutina cardio,vid001,19,106,2026-01-27
241,194,user01,rutina cardio,vid001,19,244,2026-02-01
242,54,user03,entrenamiento fuerza,vid002,30,198,2026-02-24
243,5,user02,rutina cardio,vid001,19,225,2026-01-03
244,179,user04,yoga,vid003,20,89,2026-01-14
245,110,user01,entrenamiento fuerza,vid002,30,381,2026-01-16
246,96,user02,rutina cardio,vid001,19,181,2026-01-25
247,186,user01,entrenamiento fuerza,vid002,30,182,2026-03-03
248,189,user04,entrenamiento fuerza,vid002,30,314,2026-02-20
249,147,user02,rutina cardio,vid001,19,295,2026-01-08
250,190,user01,yoga,vid003,20,343,2026-01-04
251,19,user04,entrenamiento fuerza,vid002,30,52,2026-02-10
252,46,user01,yoga,vid003,20,136,2026-03-03
253,68,user01,entrenamiento fuerza,vid002,30,73,2026-01-29
254,131,user03,yoga,vid003,20,73,2026-02-18
255,20,user04,rutina cardio,vid001,19,300,2026-01-30
256,7,user01,rutina cardio,vid001,19,155,2026-01-03
257,7,user01,entrenamiento fuerza,vid002,30,311,2026-02-21
258,32,user01,entrenamiento fuerza,vid002,30,63,2026-01-25
259,104,user01,yoga,vid003,20,66,2026-01-22
260,172,user03,entrenamiento fuerza,vid002,30,169,2026-01-14
261,98,user03,rutina cardio,vid001,19,329,2026-02-27
262,58,user03,rutina cardio,vid001,19,79,2026-03-03
263,86,user04,yoga,vid003,20,309,2026-01-29
264,64,user02,yoga,vid003,20,91,2026-02-07
265,115,user04,yoga,vid003,20,354,2026-02-03
266,18,user02,entrenamiento fuerza,vid002,30,396,2026-02-24
267,109,user02,yoga,vid003,20,307,2026-01-22
268,81,user01,yoga,vid003,20,309,2026-01-19
269,56,user02,yoga,vid003,20,238,2026-02-10
270,42,user03,entrenamiento fuerza,vid002,30,319,2026-02-26
271,97,user01,entrenamiento fuerza,vid002,30,344,2026-01-11
272,116,user02,yoga,vid003,20,269,2026-02-18
273,157,user01,entrenamiento fuerza,vid002,30,72,2026-02-19
274,158,user02,yoga,vid003,20,379,2026-01-26
275,34,user02,entrenamiento fuerza,vid002,30,55,2026-02-01
276,47,user01,entrenamiento fuerza,vid002,30,311,2026-01-19
277,32,user02,yoga,vid003,20,159,2026-03-02
278,32,user02,entrenamiento fuerza,vid002,30,112,2026-02-16
279,109,user02,rutina cardio,vid001,19,56,2026-01-13
280,141,user01,yoga,vid003,20,231,2026-02-17
281,83,user01,yoga,vid003,20,171,2026-01-19
282,157,user01,yoga,vid003,20,100,2026-01-26
283,102,user02,entrenamiento fuerza,vid002,30,73,2026-01-15
284,23,user03,yoga,vid003,20,224,2026-01-21
285,86,user03,yoga,vid003,20,165,2026-02-08
286,97,user02,yoga,vid003,20,121,2026-02-26
287,154,user03,entrenamiento fuerza,vid002,30,334,2026-01-04
288,78,user03,rutina cardio,vid001,19,374,2026-02-22
289,121,user04,entrenamiento fuerza,vid002,30,101,2026-03-02
290,13,user03,rutina cardio,vid001,19,207,2026-01-05
291,178,user04,yoga,vid003,20,256,2026-01-12
292,91,user03,rutina cardio,vid001,19,305,2026-02-22
293,119,user04,yoga,vid003,20,300,2026-02-27
294,14,user01,entrenamiento fuerza,vid002,30,166,2026-02-24
295,193,user01,yoga,vid003,20,382,2026-01-05
296,172,user03,rutina cardio,vid001,19,397,2026-01-03
297,40,user04,entrenamiento fuerza,vid002,30,67,2026-01-23
298,113,user02,yoga,vid003,20,308,2026-01-20
299,86,user01,rutina cardio,vid001,19,58,2026-02-25
300,20,user02,entrenamiento fuerza,vid002,30,308,2026-02-21
301,156,user03,rutina cardio,vid001,19,212,2026-01-14
302,107,user03,rutina cardio,vid001,19,175,2026-01-15
303,82,user02,yoga,vid003,20,334,2026-01-24
304,40,user03,yoga,vid003,20,103,2026-01-23
305,199,user04,yoga,vid003,20,318,2026-01-23
306,42,user03,entrenamiento fuerza,vid002,30,96,2026-02-20
307,20,user04,entrenamiento fuerza,vid002,30,341,2026-02-15
308,29,user01,rutina cardio,vid001,19,379,2026-01-13
309,99,user02,yoga,vid003,20,157,2026-01-05
310,133,user03,yoga,vid003,20,258,2026-01-29
311,101,user01,yoga,vid003,20,225,2026-03-02
312,1,user02,yoga,vid003,20,350,2026-01-15
313,57,user04,rutina cardio,vid001,19,113,2026-03-03
314,169,user04,yoga,vid003,20,208,2026-02-28
315,9,user02,rutina cardio,vid001,19,255,2026-02-25
316,143,user02,rutina cardio,vid001,19,360,2026-01-02
317,5,user02,entrenamiento fuerza,vid002,30,243,2026-02-04
318,56,user03,yoga,vid003,20,356,2026-02-17
319,170,user03,rutina cardio,vid001,19,304,2026-02-22
320,157,user01,yoga,vid003,20,333,2026-02-28
321,90,user02,entrenamiento fuerza,vid002,30,328,2026-02-23
322,85,user01,rutina cardio,vid001,19,115,2026-02-05
323,196,user03,rutina cardio,vid001,19,163,2026-02-14
324,51,user02,rutina cardio,vid001,19,179,2026-01-31
325,200,user04,yoga,vid003,20,57,2026-02-27
326,151,user01,entrenamiento fuerza,vid002,30,166,2026-01-03
327,169,user03,entrenamiento fuerza,vid002,30,188,2026-02-07
328,64,user04,yoga,vid003,20,299,2026-02-12
329,111,user02,rutina cardio,vid001,19,308,2026-03-03
330,72,user02,entrenamiento fuerza,vid002,30,287,2026-01-29
331,57,user04,entrenamiento fuerza,vid002,30,212,2026-03-03
332,141,user03,entrenamiento fuerza,vid002,30,177,2026-02-25
333,153,user04,yoga,vid003,20,142,2026-01-05
334,152,user01,rutina cardio,vid001,19,260,2026-01-25
335,127,user01,rutina cardio,vid001,19,167,2026-01-15
336,124,user01,rutina cardio,vid001,19,153,2026-01-19
337,79,user02,rutina cardio,vid001,19,169,2026-01-09
338,118,user04,yoga,vid003,20,207,2026-01-25
339,45,user04,rutina cardio,vid001,19,119,2026-01-25
340,91,user04,yoga,vid003,20,76,2026-01-18
341,66,user04,entrenamiento fuerza,vid002,30,266,2026-01-16
342,17,user02,yoga,vid003,20,110,2026-01-05
343,25,user02,entrenamiento fuerza,vid002,30,215,2026-02-27
344,83,user03,rutina cardio,vid001,19,78,2026-02-28
345,141,user04,yoga,vid003,20,375,2026-01-15
346,136,user01,rutina cardio,vid001,19,216,2026-02-21
347,138,user03,yoga,vid003,20,291,2026-01-06
348,85,user02,entrenamiento fuerza,vid002,30,295,2026-02-24
349,39,user01,yoga,vid003,20,79,2026-02-25
350,122,user01,rutina cardio,vid001,19,337,2026-01-16
351,179,user01,rutina cardio,vid001,19,180,2026-01-19
352,92,user04,entrenamiento fuerza,vid002,30,261,2026-01-21
353,31,user03,entrenamiento fuerza,vid002,30,115,2026-02-17
354,73,user04,entrenamiento fuerza,vid002,30,365,2026-03-03
355,168,user01,yoga,vid003,20,183,2026-02-08
356,1,user02,rutina cardio,vid001,19,136,2026-03-03
357,57,user01,yoga,vid003,20,249,2026-01-06
358,165,user03,yoga,vid003,20,265,2026-01-30
359,37,user03,rutina cardio,vid001,19,80,2026-01-15
360,54,user03,entrenamiento fuerza,vid002,30,348,2026-01-13
361,67,user02,yoga,vid003,20,243,2026-01-14
362,10,user02,entrenamiento fuerza,vid002,30,220,2026-01-27
363,143,user01,rutina cardio,vid001,19,185,2026-01-24
364,156,user04,yoga,vid003,20,201,2026-01-03
365,133,user02,rutina cardio,vid001,19,337,2026-02-18
366,30,user02,rutina cardio,vid001,19,247,2026-01-10
367,29,user02,yoga,vid003,20,202,2026-01-09
368,181,user04,rutina cardio,vid001,19,72,2026-01-10
369,161,user04,yoga,vid003,20,268,2026-01-04
370,99,user03,rutina cardio,vid001,19,360,2026-02-10
371,158,user02,entrenamiento fuerza,vid002,30,361,2026-03-01
372,79,user01,entrenamiento fuerza,vid002,30,339,2026-02-22
373,111,user02,rutina cardio,vid001,19,352,2026-02-10
374,196,user04,rutina cardio,vid001,19,291,2026-02-17
375,156,user04,rutina cardio,vid001,19,302,2026-02-02
376,8,user01,yoga,vid003,20,172,2026-02-09
377,127,user03,yoga,vid003,20,252,2026-02-24
378,193,user04,entrenamiento fuerza,vid002,30,318,2026-01-02
379,150,user02,yoga,vid003,20,81,2026-01-20
380,28,user04,rutina cardio,vid001,19,358,2026-01-04
381,52,user01,entrenamiento fuerza,vid002,30,366,2026-01-29
382,142,user03,entrenamiento fuerza,vid002,30,245,2026-01-18
383,101,user02,entrenamiento fuerza,vid002,30,91,2026-02-10
384,60,user03,entrenamiento fuerza,vid002,30,97,2026-01-09
385,82,user01,yoga,vid003,20,64,2026-01-23
386,40,user02,rutina cardio,vid001,19,148,2026-01-14
387,138,user03,entrenamiento fuerza,vid002,30,56,2026-01-23
388,105,user03,yoga,vid003,20,136,2026-01-30
389,125,user02,yoga,vid003,20,170,2026-01-10
390,23,user03,yoga,vid003,20,75,2026-01-06
391,189,user03,yoga,vid003,20,379,2026-01-25
392,198,user03,entrenamiento fuerza,vid002,30,296,2026-02-23
393,153,user02,yoga,vid003,20,340,2026-02-15
394,18,user03,entrenamiento fuerza,vid002,30,204,2026-01-20
395,127,user01,entrenamiento fuerza,vid002,30,397,2026-01-19
396,23,user01,entrenamiento fuerza,vid002,30,318,2026-01-04
397,64,user02,yoga,vid003,20,384,2026-02-18
398,183,user03,rutina cardio,vid001,19,106,2026-02-16
399,198,user02,rutina cardio,vid001,19,373,2026-01-07
400,150,user03,yoga,vid003,20,214,2026-01-20
401,197,user03,entrenamiento fuerza,vid002,30,269,2026-02-09
402,172,user03,yoga,vid003,20,80,2026-02-02
403,15,user04,rutina cardio,vid001,19,222,2026-01-10
404,175,user04,yoga,vid003,20,141,2026-01-23
405,77,user03,yoga,vid003,20,141,2026-02-28
406,13,user04,rutina cardio,vid001,19,207,2026-01-09
407,13,user01,entrenamiento fuerza,vid002,30,245,2026-02-13
408,119,user02,rutina cardio,vid001,19,357,2026-02-28
409,161,user03,yoga,vid003,20,218,2026-02-11
410,90,user04,entrenamiento fuerza,vid002,30,143,2026-01-12
411,61,user04,entrenamiento fuerza,vid002,30,329,2026-02-12
412,39,user04,yoga,vid003,20,261,2026-02-27
413,100,user02,yoga,vid003,20,232,2026-01-27
414,34,user01,entrenamiento fuerza,vid002,30,189,2026-02-04
415,132,user03,rutina cardio,vid001,19,223,2026-02-12
416,74,user01,entrenamiento fuerza,vid002,30,302,2026-01-26
417,56,user02,rutina cardio,vid001,19,328,2026-02-05
418,62,user01,rutina cardio,vid001,19,140,2026-02-23
419,105,user02,rutina cardio,vid001,19,148,2026-01-30
420,63,user01,yoga,vid003,20,273,2026-01-17
421,67,user02,entrenamiento fuerza,vid002,30,189,2026-02-07
422,120,user01,yoga,vid003,20,167,2026-02-26
423,101,user04,yoga,vid003,20,304,2026-02-03
424,17,user01,yoga,vid003,20,114,2026-02-24
425,6,user03,entrenamiento fuerza,vid002,30,296,2026-01-05
426,22,user03,yoga,vid003,20,80,2026-01-22
427,76,user02,rutina cardio,vid001,19,398,2026-01-25
428,48,user03,yoga,vid003,20,146,2026-02-19
429,197,user01,entrenamiento fuerza,vid002,30,204,2026-02-10
430,108,user01,entrenamiento fuerza,vid002,30,75,2026-01-28
431,197,user04,yoga,vid003,20,201,2026-01-09
432,103,user04,rutina cardio,vid001,19,300,2026-02-06
433,31,user02,yoga,vid003,20,94,2026-02-27
434,140,user03,rutina cardio,vid001,19,370,2026-01-07
435,133,user01,yoga,vid003,20,271,2026-02-02
436,4,user04,yoga,vid003,20,193,2026-02-27
437,133,user01,rutina cardio,vid001,19,74,2026-01-22
438,200,user04,entrenamiento fuerza,vid002,30,288,2026-01-09
439,149,user02,yoga,vid003,20,53,2026-02-16
440,154,user01,yoga,vid003,20,269,2026-02-03
441,35,user01,entrenamiento fuerza,vid002,30,99,2026-03-03
442,121,user03,yoga,vid003,20,383,2026-02-14
443,103,user04,yoga,vid003,20,222,2026-03-03
444,25,user01,rutina cardio,vid001,19,323,2026-02-08
445,108,user02,rutina cardio,vid001,19,371,2026-01-11
446,74,user01,yoga,vid003,20,185,2026-01-04
447,58,user01,entrenamiento fuerza,vid002,30,348,2026-03-02
448,182,user01,yoga,vid003,20,228,2026-01-18
449,37,user01,rutina cardio,vid001,19,368,2026-02-06
450,22,user02,yoga,vid003,20,125,2026-02-15
451,26,user04,entrenamiento fuerza,vid002,30,383,2026-01-08
452,99,user03,rutina cardio,vid001,19,287,2026-02-26
453,192,user03,entrenamiento fuerza,vid002,30,323,2026-01-04
454,108,user03,rutina cardio,vid001,19,293,2026-01-20
455,142,user03,entrenamiento fuerza,vid002,30,125,2026-01-26
456,148,user04,rutina cardio,vid001,19,98,2026-01-02
457,199,user02,rutina cardio,vid001,19,104,2026-01-22
458,200,user02,rutina cardio,vid001,19,175,2026-01-30
459,7,user02,entrenamiento fuerza,vid002,30,308,2026-03-01
460,27,user02,rutina cardio,vid001,19,111,2026-02-12
461,9,user03,entrenamiento fuerza,vid002,30,400,2026-01-23
462,172,user02,entrenamiento fuerza,vid002,30,355,2026-02-15
463,172,user02,rutina cardio,vid001,19,317,2026-01-14
464,84,user01,rutina cardio,vid001,19,88,2026-01-13
465,66,user03,entrenamiento fuerza,vid002,30,242,2026-01-28
466,47,user03,yoga,vid003,20,226,2026-02-09
467,41,user02,yoga,vid003,20,230,2026-01-31
468,200,user02,entrenamiento fuerza,vid002,30,385,2026-01-21
469,89,user04,rutina cardio,vid001,19,297,2026-01-16
470,162,user01,entrenamiento fuerza,vid002,30,131,2026-03-03
471,115,user01,rutina cardio,vid001,19,72,2026-01-13
472,63,user01,yoga,vid003,20,139,2026-01-24
473,200,user01,rutina cardio,vid001,19,99,2026-02-28
474,122,user03,entrenamiento fuerza,vid002,30,128,2026-01-18
475,31,user03,rutina cardio,vid001,19,294,2026-02-27
476,132,user01,rutina cardio,vid001,19,357,2026-01-22
